marketCard_symbol,marketCard_stockPosition,marketCard_changePct
ASX 200*,8973.1,-0.08%
NIKKEI*,42718.47,-0.26%
NIFTY 50*,24426.85,-0.30%
HSI*,25077.62,+0.32%
SHANGHAI*,3857.927,+0.37%
DJIA,45544.88,-0.20%
S&P 500,6460.26,-0.64%
NASDAQ,21455.552,-1.15%
RUSS 2K*,2366.418,-0.50%
VIX,15.36,+6.44%
STOXX600*,550.14,-0.64%
DAX*,23902.21,-0.57%
FTSE*,9187.34,-0.32%
CAC*,7703.9,-0.76%
FTSE MIB*,42196.2,-0.59%
DOW FUT*,45621.0,-0.19%
S&P FUT*,6473.5,-0.68%
NAS FUT*,23458.0,-1.31%
OIL*,64.02,-0.90%
US 10-YR,4.23%,N/A
US 10-YR,4.23%,N/A
Bund 10-YR,2.7171%,N/A
JPN 10-YR,1.599%,N/A
UK 10-YR,4.714%,N/A
FRA 10-YR,3.5031%,N/A
EUR/USD,1.1694,+0.1027%
USD/JPY,146.99,+0.05%
GBP/USD,1.3508,-0.0296%
AUD/USD,0.6541,+0.17%
USD/CAD,1.3742,-0.0436%
BITCOIN,107775.0,-3.90%
ETHER,4327.57,-3.04%
SOLANA,200.88,-4.81%
DOGECOIN,0.2107,-4.71%
XRP,2.8,-5.73%
GOLD*,3517.1,+1.23%
SILVER*,40.305,+2.85%
COPPER*,4.517,+1.20%
PLATINUM*,1374.0,+0.90%
PALLADIUM*,1131.0,+0.41%
OIL*,64.02,-0.90%
BRENT*,68.12,-0.73%
NAT GAS*,3.013,+2.34%
RBOB GAS*,2.2478,+2.21%
ULSD HO*,2.2722,-1.63%
